40
40
0.0,8.0
0.0,13.0
0.0,16.0
0.0,18.0
0.0,21.0
0.0,22.0
0.0,24.0
0.0,31.0
0.0,35.0
0.0,37.0
1.0,0.0
1.0,1.0
1.0,3.0
1.0,9.0
1.0,10.0
1.0,14.0
1.0,15.0
1.0,16.0
1.0,17.0
1.0,19.0
1.0,35.0
1.0,39.0
2.0,1.0
2.0,7.0
2.0,8.0
2.0,9.0
2.0,18.0
2.0,20.0
2.0,23.0
2.0,28.0
2.0,34.0
2.0,36.0
3.0,0.0
3.0,2.0
3.0,5.0
3.0,6.0
3.0,7.0
3.0,10.0
3.0,16.0
3.0,21.0
3.0,22.0
3.0,27.0
3.0,28.0
3.0,32.0
3.0,39.0
4.0,3.0
4.0,15.0
4.0,16.0
4.0,18.0
4.0,19.0
4.0,22.0
4.0,23.0
4.0,26.0
4.0,27.0
4.0,28.0
4.0,35.0
4.0,36.0
5.0,1.0
5.0,7.0
5.0,9.0
5.0,16.0
5.0,27.0
5.0,28.0
5.0,29.0
5.0,30.0
6.0,8.0
6.0,11.0
6.0,14.0
6.0,15.0
6.0,16.0
6.0,20.0
6.0,29.0
6.0,33.0
7.0,0.0
7.0,4.0
7.0,14.0
7.0,15.0
7.0,18.0
7.0,31.0
7.0,33.0
7.0,37.0
7.0,38.0
8.0,3.0
8.0,17.0
8.0,19.0
8.0,24.0
8.0,26.0
8.0,28.0
8.0,32.0
9.0,7.0
9.0,17.0
9.0,24.0
9.0,26.0
9.0,28.0
9.0,32.0
9.0,33.0
10.0,6.0
10.0,7.0
10.0,9.0
10.0,11.0
10.0,12.0
10.0,16.0
10.0,17.0
10.0,18.0
10.0,29.0
10.0,30.0
10.0,35.0
10.0,36.0
10.0,37.0
11.0,0.0
11.0,1.0
11.0,9.0
11.0,18.0
11.0,21.0
11.0,26.0
11.0,27.0
11.0,28.0
11.0,31.0
11.0,38.0
12.0,5.0
12.0,7.0
12.0,12.0
12.0,13.0
12.0,21.0
12.0,25.0
12.0,28.0
12.0,32.0
13.0,1.0
13.0,2.0
13.0,5.0
13.0,6.0
13.0,9.0
13.0,12.0
13.0,14.0
13.0,26.0
13.0,29.0
13.0,36.0
14.0,0.0
14.0,8.0
14.0,10.0
14.0,17.0
14.0,20.0
14.0,27.0
14.0,30.0
15.0,0.0
15.0,1.0
15.0,2.0
15.0,7.0
15.0,12.0
15.0,14.0
15.0,19.0
15.0,20.0
15.0,21.0
15.0,26.0
15.0,35.0
15.0,37.0
16.0,0.0
16.0,1.0
16.0,3.0
16.0,6.0
16.0,9.0
16.0,12.0
16.0,19.0
16.0,21.0
16.0,23.0
16.0,27.0
16.0,28.0
16.0,30.0
16.0,32.0
16.0,37.0
17.0,2.0
17.0,4.0
17.0,8.0
17.0,10.0
17.0,13.0
17.0,14.0
17.0,16.0
17.0,17.0
17.0,18.0
17.0,30.0
17.0,37.0
18.0,2.0
18.0,4.0
18.0,7.0
18.0,10.0
18.0,11.0
18.0,14.0
18.0,16.0
18.0,21.0
18.0,30.0
18.0,31.0
18.0,34.0
18.0,39.0
19.0,2.0
19.0,3.0
19.0,7.0
19.0,8.0
19.0,22.0
19.0,32.0
19.0,33.0
19.0,38.0
20.0,9.0
20.0,27.0
20.0,31.0
20.0,34.0
20.0,35.0
20.0,38.0
21.0,3.0
21.0,8.0
21.0,9.0
21.0,11.0
21.0,13.0
21.0,21.0
21.0,23.0
21.0,32.0
21.0,34.0
21.0,37.0
22.0,3.0
22.0,21.0
22.0,30.0
22.0,31.0
22.0,32.0
22.0,34.0
22.0,39.0
23.0,2.0
23.0,8.0
23.0,11.0
23.0,16.0
23.0,24.0
23.0,27.0
23.0,35.0
24.0,1.0
24.0,3.0
24.0,8.0
24.0,9.0
24.0,12.0
24.0,20.0
24.0,25.0
24.0,26.0
24.0,32.0
25.0,1.0
25.0,3.0
25.0,5.0
25.0,24.0
25.0,25.0
25.0,28.0
25.0,33.0
25.0,36.0
26.0,8.0
26.0,12.0
26.0,13.0
26.0,14.0
26.0,15.0
26.0,18.0
26.0,22.0
26.0,23.0
26.0,26.0
26.0,36.0
27.0,3.0
27.0,5.0
27.0,7.0
27.0,8.0
27.0,9.0
27.0,13.0
27.0,18.0
27.0,20.0
27.0,26.0
27.0,34.0
27.0,35.0
28.0,5.0
28.0,6.0
28.0,7.0
28.0,8.0
28.0,10.0
28.0,11.0
28.0,15.0
28.0,18.0
28.0,21.0
28.0,23.0
28.0,35.0
28.0,36.0
29.0,4.0
29.0,8.0
29.0,9.0
29.0,10.0
29.0,14.0
29.0,17.0
29.0,18.0
29.0,19.0
29.0,20.0
29.0,21.0
29.0,25.0
30.0,1.0
30.0,3.0
30.0,10.0
30.0,20.0
30.0,32.0
30.0,35.0
30.0,36.0
31.0,4.0
31.0,9.0
31.0,11.0
31.0,16.0
31.0,25.0
31.0,31.0
31.0,32.0
31.0,33.0
31.0,34.0
31.0,35.0
31.0,36.0
31.0,38.0
31.0,39.0
32.0,5.0
32.0,9.0
32.0,11.0
32.0,13.0
32.0,18.0
32.0,36.0
33.0,0.0
33.0,11.0
33.0,13.0
33.0,16.0
33.0,21.0
33.0,23.0
33.0,31.0
33.0,38.0
34.0,2.0
34.0,7.0
34.0,16.0
34.0,18.0
34.0,19.0
34.0,37.0
35.0,2.0
35.0,6.0
35.0,7.0
35.0,9.0
35.0,10.0
35.0,11.0
35.0,13.0
35.0,18.0
35.0,19.0
35.0,21.0
35.0,24.0
35.0,27.0
35.0,31.0
36.0,1.0
36.0,3.0
36.0,6.0
36.0,13.0
36.0,19.0
36.0,21.0
36.0,23.0
36.0,26.0
36.0,30.0
36.0,36.0
37.0,1.0
